"ID"	"Sistema operativo, navegador y tecnología asistiva"	"Resumen"	"Elemento afectado"	"Páginas Afectadas"	"Resultado actual"	"Resultado esperado"	"Metodología de testing"	"Severidad"	"Criterio WCAG"	"Captura de pantalla"	"Recomendación (W3C)"	"Notas"
"landmark-unique-1"	"macOS + Electron (Cypress) + axe-core"	"Cada landmark debe ser única o tener un nombre único (aria-label/aria-labelledby)."	".header-display-desktop > .header-title-nav-wrapper > .header-nav > .header-nav-wrapper > .header-nav-list"	https://www.hiexperience.es/blog	"<nav class=""""header-nav-list"""">"	"Nombrar de forma única las regiones repetidas (aria-label/aria-labelledby)."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"1.3.1 Información y relaciones"	http://localhost:8080/auditorias/23-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/a11y-1-_blog.png	https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html	""
"landmark-unique-1"	"macOS + Electron (Cypress) + axe-core"	"Cada landmark debe ser única o tener un nombre único (aria-label/aria-labelledby)."	".header-display-desktop > .header-title-nav-wrapper > .header-nav > .header-nav-wrapper > .header-nav-list"	https://www.hiexperience.es/blog/cmo-liderar-producto-cuando-la-complejidad-escala-ms-rpido-que-los-equipos	"<nav class=""""header-nav-list"""">"	"Nombrar de forma única las regiones repetidas (aria-label/aria-labelledby)."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"1.3.1 Información y relaciones"	http://localhost:8080/auditorias/23-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/a11y-2-_blog_cmo-liderar-producto-cuando-la-complejidad-escala-ms-rpido-que-los-equipos.png	https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html	""
"landmark-unique-1"	"macOS + Electron (Cypress) + axe-core"	"Cada landmark debe ser única o tener un nombre único (aria-label/aria-labelledby)."	".header-display-desktop > .header-title-nav-wrapper > .header-nav > .header-nav-wrapper > .header-nav-list"	https://www.hiexperience.es/blog/qu-decisiones-vas-a-cederle-a-la-ia	"<nav class=""""header-nav-list"""">"	"Nombrar de forma única las regiones repetidas (aria-label/aria-labelledby)."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"1.3.1 Información y relaciones"	http://localhost:8080/auditorias/23-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/a11y-3-_blog_qu-decisiones-vas-a-cederle-a-la-ia.png	https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html	""
"heading-order-1"	"macOS + Electron (Cypress) + axe-core"	"Mantén una jerarquía correcta de encabezados (h1, h2, h3...) sin saltos ilógicos."	"h3:nth-child(2)"	https://www.hiexperience.es/blog/generative-engine-optimization	"<h3 style=""""white-space:pre-wrap;""""><strong>La muerte anunciada del SEO (otra vez)</strong></h3>"	"Mantener una jerarquía de encabezados lógica (h1→h2→h3…) sin saltos incoherentes."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"2.4.6 Encabezados y etiquetas"	http://localhost:8080/auditorias/23-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/a11y-4-_blog_generative-engine-optimization.png	https://www.w3.org/WAI/WCAG21/Understanding/headings-and-labels.html	""
"landmark-unique-2"	"macOS + Electron (Cypress) + axe-core"	"Cada landmark debe ser única o tener un nombre único (aria-label/aria-labelledby)."	".header-display-desktop > .header-title-nav-wrapper > .header-nav > .header-nav-wrapper > .header-nav-list"	https://www.hiexperience.es/blog/generative-engine-optimization	"<nav class=""""header-nav-list"""">"	"Nombrar de forma única las regiones repetidas (aria-label/aria-labelledby)."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"1.3.1 Información y relaciones"	http://localhost:8080/auditorias/23-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/a11y-4-_blog_generative-engine-optimization.png	https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html	""
"landmark-unique-1"	"macOS + Electron (Cypress) + axe-core"	"Cada landmark debe ser única o tener un nombre único (aria-label/aria-labelledby)."	".header-display-desktop > .header-title-nav-wrapper > .header-nav > .header-nav-wrapper > .header-nav-list"	https://www.hiexperience.es/blog/declaracion-accesibilidad-empresas	"<nav class=""""header-nav-list"""">"	"Nombrar de forma única las regiones repetidas (aria-label/aria-labelledby)."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"1.3.1 Información y relaciones"	http://localhost:8080/auditorias/23-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/a11y-5-_blog_declaracion-accesibilidad-empresas.png	https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html	""
"color-contrast-1"	"macOS + Electron (Cypress) + axe-core"	"El contraste entre el texto y el fondo es insuficiente. Aumenta el contraste para cumplir 1.4.3."	".sqsrte-small > em"	https://www.hiexperience.es/blog/gua-rpida-lo-que-toda-empresa-debera-saber-sobre-accesibilidad-digital-en-2025	"<em>Fuente: WebAIM Million – 2024</em>"	"Aumentar el contraste de texto hasta ≥4.5:1 (o ≥3:1 si el texto es grande)."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Alta"	"WCAG 2.0 Nivel AA"	http://localhost:8080/auditorias/23-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/a11y-6-_blog_gua-rpida-lo-que-toda-empresa-debera-saber-sobre-accesibilidad-digital-en-2025.png	https://www.w3.org/TR/WCAG20/	""
"heading-order-2"	"macOS + Electron (Cypress) + axe-core"	"Mantén una jerarquía correcta de encabezados (h1, h2, h3...) sin saltos ilógicos."	"#block-yui_3_17_2_1_1749660904505_21294 > .sqs-block-content > .sqs-html-content[data-sqsp-text-block-content=""""""""] > h3:nth-child(1)"	https://www.hiexperience.es/blog/gua-rpida-lo-que-toda-empresa-debera-saber-sobre-accesibilidad-digital-en-2025	"<h3 style=""""white-space:pre-wrap;"""">1. ¿Qué es la accesibilidad digital?</h3>"	"Mantener una jerarquía de encabezados lógica (h1→h2→h3…) sin saltos incoherentes."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"2.4.6 Encabezados y etiquetas"	http://localhost:8080/auditorias/23-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/a11y-6-_blog_gua-rpida-lo-que-toda-empresa-debera-saber-sobre-accesibilidad-digital-en-2025.png	https://www.w3.org/WAI/WCAG21/Understanding/headings-and-labels.html	""
"landmark-unique-3"	"macOS + Electron (Cypress) + axe-core"	"Cada landmark debe ser única o tener un nombre único (aria-label/aria-labelledby)."	".header-display-desktop > .header-title-nav-wrapper > .header-nav > .header-nav-wrapper > .header-nav-list"	https://www.hiexperience.es/blog/gua-rpida-lo-que-toda-empresa-debera-saber-sobre-accesibilidad-digital-en-2025	"<nav class=""""header-nav-list"""">"	"Nombrar de forma única las regiones repetidas (aria-label/aria-labelledby)."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"1.3.1 Información y relaciones"	http://localhost:8080/auditorias/23-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/a11y-6-_blog_gua-rpida-lo-que-toda-empresa-debera-saber-sobre-accesibilidad-digital-en-2025.png	https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html	""
"heading-order-1"	"macOS + Electron (Cypress) + axe-core"	"Mantén una jerarquía correcta de encabezados (h1, h2, h3...) sin saltos ilógicos."	"h3:nth-child(5)"	https://www.hiexperience.es/blog/qu-aporta-un-equipo-de-producto-externo	"<h3 style=""""white-space:pre-wrap;"""">🔄 Integración ágil y sin fricciones con los equipos internos</h3>"	"Mantener una jerarquía de encabezados lógica (h1→h2→h3…) sin saltos incoherentes."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"2.4.6 Encabezados y etiquetas"	http://localhost:8080/auditorias/23-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/a11y-7-_blog_qu-aporta-un-equipo-de-producto-externo.png	https://www.w3.org/WAI/WCAG21/Understanding/headings-and-labels.html	""
