"ID"	"Sistema operativo, navegador y tecnología asistiva"	"Resumen"	"Elemento afectado"	"Páginas Afectadas"	"Resultado actual"	"Resultado esperado"	"Metodología de testing"	"Severidad"	"Criterio WCAG"	"Captura de pantalla"	"Recomendación (W3C)"	"Notas"
"landmark-unique-fdbeb30e"	"macOS + Electron (Cypress) + axe-core"	"Los landmarks deben tener una combinación única de rol y nombre accesible."	".header-display-desktop > .header-title-nav-wrapper > .header-nav > .header-nav-wrapper > .header-nav-list"	https://www.hiexperience.es/blog	"Los landmarks deben tener una combinación única de rol y nombre accesible."	"Cada landmark (banner, main, nav, complementary, contentinfo, etc.) debe ser único por rol+nombre dentro de la página."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"2.4.1 Evitar bloques (A)"	=HYPERLINK("https://www.hiexperience.es/auditorias/27-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/landmark-unique-.header-display-desktop___.header-title-nav-wrapper___.header-nav___.header-nav--sitemap-1280x800.png";"Ver Captura")	https://www.w3.org/WAI/WCAG22/Understanding/bypass-blocks.html	""
"landmark-unique-fdbeb30e"	"macOS + Electron (Cypress) + axe-core"	"Los landmarks deben tener una combinación única de rol y nombre accesible."	".blog-list-pagination"	https://www.hiexperience.es/blog	"Los landmarks deben tener una combinación única de rol y nombre accesible."	"Cada landmark (banner, main, nav, complementary, contentinfo, etc.) debe ser único por rol+nombre dentro de la página."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"2.4.1 Evitar bloques (A)"	=HYPERLINK("https://www.hiexperience.es/auditorias/27-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/landmark-unique-.blog-list-pagination-sitemap-375x812.png";"Ver Captura")	https://www.w3.org/WAI/WCAG22/Understanding/bypass-blocks.html	""
"landmark-unique-e9c43f6e"	"macOS + Electron (Cypress) + axe-core"	"Los landmarks deben tener una combinación única de rol y nombre accesible."	".header-display-desktop > .header-title-nav-wrapper > .header-nav > .header-nav-wrapper > .header-nav-list"	https://www.hiexperience.es/blog/cmo-liderar-producto-cuando-la-complejidad-escala-ms-rpido-que-los-equipos	"Los landmarks deben tener una combinación única de rol y nombre accesible."	"Cada landmark (banner, main, nav, complementary, contentinfo, etc.) debe ser único por rol+nombre dentro de la página."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"2.4.1 Evitar bloques (A)"	=HYPERLINK("https://www.hiexperience.es/auditorias/27-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/landmark-unique-.header-display-desktop___.header-title-nav-wrapper___.header-nav___.header-nav--sitemap-1280x800.png";"Ver Captura")	https://www.w3.org/WAI/WCAG22/Understanding/bypass-blocks.html	""
"landmark-unique-238361d6"	"macOS + Electron (Cypress) + axe-core"	"Los landmarks deben tener una combinación única de rol y nombre accesible."	".header-display-desktop > .header-title-nav-wrapper > .header-nav > .header-nav-wrapper > .header-nav-list"	https://www.hiexperience.es/blog/qu-decisiones-vas-a-cederle-a-la-ia	"Los landmarks deben tener una combinación única de rol y nombre accesible."	"Cada landmark (banner, main, nav, complementary, contentinfo, etc.) debe ser único por rol+nombre dentro de la página."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"2.4.1 Evitar bloques (A)"	=HYPERLINK("https://www.hiexperience.es/auditorias/27-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/landmark-unique-.header-display-desktop___.header-title-nav-wrapper___.header-nav___.header-nav--sitemap-1280x800.png";"Ver Captura")	https://www.w3.org/WAI/WCAG22/Understanding/bypass-blocks.html	""
"heading-order-9ffa73f5"	"macOS + Electron (Cypress) + axe-core"	"Los niveles de encabezado deben aumentar de uno en uno, sin saltos."	"h3:nth-child(2)"	https://www.hiexperience.es/blog/generative-engine-optimization	"Los niveles de encabezado deben aumentar de uno en uno, sin saltos."	"Estructura jerárquicamente con h1 → h2 → h3 … sin saltar niveles."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"1.3.2 Secuencia significativa (A)"	=HYPERLINK("https://www.hiexperience.es/auditorias/27-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/heading-order-h3%3Anth-child_2_-sitemap-1280x800.png";"Ver Captura")	https://www.w3.org/WAI/WCAG22/Understanding/meaningful-sequence.html	""
"landmark-unique-9ffa73f5"	"macOS + Electron (Cypress) + axe-core"	"Los landmarks deben tener una combinación única de rol y nombre accesible."	".header-display-desktop > .header-title-nav-wrapper > .header-nav > .header-nav-wrapper > .header-nav-list"	https://www.hiexperience.es/blog/generative-engine-optimization	"Los landmarks deben tener una combinación única de rol y nombre accesible."	"Cada landmark (banner, main, nav, complementary, contentinfo, etc.) debe ser único por rol+nombre dentro de la página."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"2.4.1 Evitar bloques (A)"	=HYPERLINK("https://www.hiexperience.es/auditorias/27-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/landmark-unique-.header-display-desktop___.header-title-nav-wrapper___.header-nav___.header-nav--sitemap-1280x800.png";"Ver Captura")	https://www.w3.org/WAI/WCAG22/Understanding/bypass-blocks.html	""
"landmark-unique-babe0d35"	"macOS + Electron (Cypress) + axe-core"	"Los landmarks deben tener una combinación única de rol y nombre accesible."	".header-display-desktop > .header-title-nav-wrapper > .header-nav > .header-nav-wrapper > .header-nav-list"	https://www.hiexperience.es/blog/declaracion-accesibilidad-empresas	"Los landmarks deben tener una combinación única de rol y nombre accesible."	"Cada landmark (banner, main, nav, complementary, contentinfo, etc.) debe ser único por rol+nombre dentro de la página."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"2.4.1 Evitar bloques (A)"	=HYPERLINK("https://www.hiexperience.es/auditorias/27-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/landmark-unique-.header-display-desktop___.header-title-nav-wrapper___.header-nav___.header-nav--sitemap-1280x800.png";"Ver Captura")	https://www.w3.org/WAI/WCAG22/Understanding/bypass-blocks.html	""
"color-contrast-166e3a23"	"macOS + Electron (Cypress) + axe-core"	"El texto no alcanza el contraste mínimo requerido."	".sqsrte-small > em"	https://www.hiexperience.es/blog/gua-rpida-lo-que-toda-empresa-debera-saber-sobre-accesibilidad-digital-en-2025	"El texto no alcanza el contraste mínimo requerido."	"Asegura contraste AA (4.5:1 texto normal; 3:1 texto grande)."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Alta"	"1.4.3 Contraste (mínimo) (AA)"	=HYPERLINK("https://www.hiexperience.es/auditorias/27-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/color-contrast-.sqsrte-small___em-sitemap-1280x800.png";"Ver Captura")	https://www.w3.org/WAI/WCAG22/Understanding/contrast-minimum.html	""
"heading-order-166e3a23"	"macOS + Electron (Cypress) + axe-core"	"Los niveles de encabezado deben aumentar de uno en uno, sin saltos."	"#block-yui_3_17_2_1_1749660904505_21294 > .sqs-block-content > .sqs-html-content[data-sqsp-text-block-content=""""""""] > h3:nth-child(1)"	https://www.hiexperience.es/blog/gua-rpida-lo-que-toda-empresa-debera-saber-sobre-accesibilidad-digital-en-2025	"Los niveles de encabezado deben aumentar de uno en uno, sin saltos."	"Estructura jerárquicamente con h1 → h2 → h3 … sin saltar niveles."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"1.3.2 Secuencia significativa (A)"	=HYPERLINK("https://www.hiexperience.es/auditorias/27-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/heading-order-%23block-yui_3_17_2_1_1749660904505_21294___.sqs-block-content___.sqs-html-content-sitemap-1280x800.png";"Ver Captura")	https://www.w3.org/WAI/WCAG22/Understanding/meaningful-sequence.html	""
"landmark-unique-166e3a23"	"macOS + Electron (Cypress) + axe-core"	"Los landmarks deben tener una combinación única de rol y nombre accesible."	".header-display-desktop > .header-title-nav-wrapper > .header-nav > .header-nav-wrapper > .header-nav-list"	https://www.hiexperience.es/blog/gua-rpida-lo-que-toda-empresa-debera-saber-sobre-accesibilidad-digital-en-2025	"Los landmarks deben tener una combinación única de rol y nombre accesible."	"Cada landmark (banner, main, nav, complementary, contentinfo, etc.) debe ser único por rol+nombre dentro de la página."	"WCAG 2.1 / 2.2 AA (automatizado con axe-core)"	"Media"	"2.4.1 Evitar bloques (A)"	=HYPERLINK("https://www.hiexperience.es/auditorias/27-10-2025-www.hiexperience.es/screenshots/accesibilidad-sitemap.cy.js/landmark-unique-.header-display-desktop___.header-title-nav-wrapper___.header-nav___.header-nav--sitemap-1280x800.png";"Ver Captura")	https://www.w3.org/WAI/WCAG22/Understanding/bypass-blocks.html	""
